Module,Score,Price ($),Price Efficiency (Score/$),URL
Chun Well Technology Holding Limited D4U0840140B 8GB,29420,,,
Team Group Inc. TOMGROUP-UD4-4200 8GB,29376,,,
Galaxy Microsystems Ltd. D4U0840185B 8GB,29311,,,
G Skill Intl F4-3800C13-8GTZN 8GB,28979,,,
Chun Well Technology Holding Limited D4U0840160B 8GB,28577,,,
Acer BL.9BWWR.228 8GB,28231,,,
G Skill Intl F4-4000C16-16GTEG 16GB,27655,,,
G Skill Intl F4-3600C14-16GTZNA 16GB,27359,,,
G Skill Intl F4-4000C14-8GTZN 8GB,27269,,,
G Skill Intl F4-4000C14-16GVK 16GB,27265,,,
Acer BL.9BWWR.294 8GB,27222,,,
Corsair CMT32GX4M2Z3600C14 16GB,27163,,,
G Skill Intl F4-4000C16-16GVKA 16GB,27151,,,
G Skill Intl F4-4000C14-16GTES 16GB,26969,,,
Corsair CMT16GX4M2Z3600C14 8GB,26892,,,
Chun Well Technology Holding Limited D4U0836161B 8GB,26741,,,
G Skill Intl F4-4000C14-16GTZN 16GB,26729,,,
Hewlett-Packard 54N63AA# 16GB,26692,,,
G Skill Intl F4-4000C16-8GTZNA 8GB,26575,,,
Asgard VMA49UG-AMC1U2AV3 8GB,26569,,,
G Skill Intl F4-3600C14-16GVKA 16GB,26517,,,
Corsair CMW16GX4M2Z3600C14 8GB,26508,,,
OCMEMORY OCM3200CL18-8GBNH 8GB,26491,,,
G Skill Intl F4-4000C14-8GVK 8GB,26382,,,
Mushkin MLA4C360GKKP16G 16GB,26373,,,
G Skill Intl F4-4266C16-16GTRG 16GB,26318,,,
Corsair CMW16GX4M2G4000C16 8GB,26278,,,
Hewlett-Packard 48U45AA# 16GB,26194,,,
G Skill Intl F4-4000C14-8GTZR 8GB,26184,,,
Essencore Limited KD4AGU880-36A180Z 16GB,26086,,,
V-Color Technology Inc. TL1636818A-E6PRKWK 16GB,26084,,,
G Skill Intl F4-4000C14-16GTZR 16GB,26029,,,
Corsair CM4X8GD3600C16K2E 8GB,26014,,,
G Skill Intl F4-3600C14-16GTZN 16GB,25916,,,
Asgard VMA47UH-AMC1U23T3 16GB,25904,,,
G Skill Intl F4-3600C14-8GTEGA 8GB,25902,,,
Corsair CMT32GX4M2Z4000C16 16GB,25895,,,
G Skill Intl F4-4000C18-8GTZN 8GB,25865,,,
G Skill Intl F4-4000C16-16GVK 16GB,25845,,,
G Skill Intl F4-4000C18-16GTEG 16GB,25827,,,
G Skill Intl F4-3600C14-16GTZR 16GB,25788,,,
Mushkin MLA4C360JNNM32G 32GB,25749,,,
Mushkin MRX4U360EKKT8G 8GB,25744,,,
A-DATA Technology AX4U360032G18I-SWHD3 32GB,25738,,,
Acer BL.9BWWR.280 16GB,25680,,,
A-DATA Technology AX4U3600316G18I-BB10 16GB,25660,,,
G Skill Intl F4-3600C14-8GTESA 8GB,25657,,,
A-DATA Technology AX4U360016G18I-SB10 16GB,25636,,,
G Skill Intl F4-3600C14-16GTRS 16GB,25629,,,
Asgard VMA47UG-AMC1U2AV3 8GB,25625,,,
G Skill Intl F4-3600C14-16GTZRA 16GB,25595,,,
Apacer Technology GD2.2229BH.001 16GB,25519,,,
G Skill Intl F4-3800C14-16GTZN 16GB,25513,,,
G Skill Intl F4-4000C16-8GVKA 8GB,25501,,,
A-DATA Technology AX4U360032G18I-BBKD4 32GB,25475,,,
A-DATA Technology AX4U36008G18I-DW50 8GB,25465,,,
Corsair CMK16GX4M2B4000C19 8GB,25440,,,
G Skill Intl F4-4000C14-8GTES 8GB,25438,,,
Chun Well Technology Holding Limited MD4U0846181BRPDE 8GB,25422,,,
G Skill Intl F4-4266C16-16GTEG 16GB,25402,,,
V-Color Technology Inc. TO408G32S816DSPSXS 8GB,25388,,,
G Skill Intl F4-3600C14-16GTESA 16GB,25377,,,
G Skill Intl F4-4000C16-16GTRGA 16GB,25371,,,
Mushkin MRX4U360JNNM32G 32GB,25370,,,
G Skill Intl F4-5333C22-8GTRG 8GB,25336,,,
Patriot Memory (PDP Systems) 4000 C16 Series 8GB,25290,,,
G Skill Intl F4-4000C14-8GTRS 8GB,25284,,,
Wilk Elektronik S.A. IRG-W36D4L18S/8G 8GB,25271,,,
Hewlett-Packard 54N61AA# 8GB,25270,,,
Corsair CMT32GX4M2Z4000C18 16GB,25255,,,
G Skill Intl F4-4000C16-16GTZRA 16GB,25247,,,
Asgard VAM4UX36C188G-CGURBN 8GB,25237,,,
Asgard VAM4UX36C188G-DVALWN 8GB,25224,,,
A-DATA Technology AX4U360016G18I-DT50 16GB,25215,,,
Team Group Inc. TEAMGROUP-UD4-4300 8GB,25207,,,
G Skill Intl F4-3600C14-8GTZNA 8GB,25192,,,
Thermaltake Technology Co Ltd R020D408GX2-3200C16A 8GB,25183,,,
G Skill Intl F4-3600C16-16GTEGC 16GB,25141,,,
Corsair CMK16GX4M2G4000C16 8GB,25106,,,
Jazer JAD3600U1816RGB 16GB,25090,,,
A-DATA Technology AX4U36008G18I-DW60 8GB,25067,,,
G Skill Intl F4-4400C19-16GTRG 16GB,25063,,,
Essencore Limited KD4AGU880-36A180Y 16GB,25031,,,
G Skill Intl F4-4400C19-32GVK 32GB,25029,,,
Gloway International Co. Ltd. TAC4U3600E18162C 16GB,25026,,,
A-DATA Technology AX4U36008G18I-DCBK20 8GB,25012,,,
G Skill Intl F4-4800C20-16GTRG 16GB,24994,,,
G Skill Intl F4-3600C14-8GVKA 8GB,24990,,,
Corsair CMT64GX4M4Z3600C16 16GB,24950,,,
Pioneer High Fidelity Taiwan Co.Ltd APS-M48GU0N36J-4HC 16GB,24949,,,
MAXSUN MSD416G32Q3 16MB,24949,,,
G Skill Intl F4-4000C16-16GTZR 16GB,24936,,,
Corsair CM4X16GC4000Z18K2 16GB,24931,,,
Patriot Memory (PDP Systems) 3600 C14 Series 8GB,24923,,,
G Skill Intl F4-4600C18-8GTRS 8GB,24886,,,
Mushkin MRX4U360JNNM16G 16GB,24852,,,
Kingston KF436C18BB/16 16GB,24841,,,
Corsair CMW32GX4M2Z3600C14 16GB,24827,,,
Asgard VMA47UH-MEC1U22T3 16GB,24826,,,
KingSpec KS3200D4P12016G 16GB,24797,,,
Thermaltake Technology Co Ltd R010D408GX2-3600C18A 8GB,24796,,,
G Skill Intl F4-4000C16-16GTZNA 16GB,24795,,,
Chun Well Technology Holding Limited D4U1636144B 16GB,24782,,,
Gloway International Co. Ltd. TAC4U3200E18321C 32GB,24768,,,
Apacer Technology GD2.1827CC.001 8GB,24744,,,
G Skill Intl F4-4000C15-8GTRG 8GB,24693,,,
G Skill Intl F4-3600C14-8GTZN 8GB,24690,,,
Apacer Technology GD2.1842CS.00A 8GB,24667,,,
